Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-20 17:24:59,DIS,largo,VBS_ADX,151.8,151.4693,0.3307,151.19444,50
2022-1-20 17:45:00,TGT,largo,VBS_ADX,228.75,228.03,0.72,69.44444,50
2022-1-20 17:50:01,CVX,largo,VBS_ADX,130.69,130.44,0.25,200,50
2022-1-20 17:49:59,GLD,Corto,VBS_ADX,171.8889,171.98,0.0911,548.84742,50
2022-1-20 17:50:00,NUGT,Corto,VBS_ADX,52.84,52.98,0.14,357.14286,50
2022-1-20 17:49:59,TGT,largo,VBS_ADX,228.69,228.23,0.46,108.69565,50
2022-1-20 17:54:59,CVX,largo,VBS_ADX,130.63,130.44,0.19,263.15789,50
2022-1-20 17:54:59,GLD,Corto,VBS_ADX,171.975,172.045,0.07,714.28571,50
2022-1-20 17:54:59,NUGT,Corto,VBS_ADX,52.94,52.99,0.05,1000,50
2022-1-20 18:00:01,CVX,largo,VBS_ADX,130.55,130.31,0.24,208.33333,50
2022-1-20 17:59:59,GLD,Corto,VBS_ADX,171.98,172.049,0.069,724.63768,50
2022-1-20 18:00:01,NUGT,Corto,VBS_ADX,52.95,53.2,0.25,200,50
2022-1-20 18:05:00,CVX,largo,VBS_ADX,130.51,130.3,0.21,238.09524,50
2022-1-20 18:04:59,GLD,Corto,VBS_ADX,172.0127,172.078,0.0653,765.69678,50
2022-1-20 18:10:01,CVX,largo,VBS_ADX,130.48,130.3236,0.1564,319.69309,50
2022-1-20 18:14:59,CVX,largo,VBS_ADX,130.41,130.32,0.09,555.55556,50
2022-1-20 19:24:59,CVX,largo,VBS_ADX,130.52,130.33,0.19,263.15789,50
2022-1-20 19:29:59,DIS,Corto,VBS_ADX,150.67,150.9229,0.2529,197.7066,50
2022-1-20 19:45:01,AAPL,Corto,VBS_ADX,167.615,167.8,0.185,270.27027,50
2022-1-20 19:44:59,DIS,Corto,VBS_ADX,150.74,150.89,0.15,333.33333,50
2022-1-20 19:45:00,MU,Corto,VBS_ADX,88.84,88.93,0.09,555.55556,50
2022-1-20 19:44:59,SPXL,Corto,VBS_ADX,126.1433,126.35,0.2067,241.89647,50
2022-1-20 20:10:01,AAPL,Corto,VBS_ADX,167.62,167.77,0.15,333.33333,50
2022-1-20 20:10:01,MU,Corto,VBS_ADX,88.67,88.92,0.25,200,50
2022-1-20 20:14:59,CVX,largo,VBS_ADX,130.7399,130.35,0.3899,128.23801,50
2022-1-20 20:20:00,CVX,largo,VBS_ADX,130.47,130.265,0.205,243.90244,50
2022-1-20 20:25:01,MSFT,Corto,VBS_ADX,307.03,307.62,0.59,84.74576,50
2022-1-20 20:40:01,NUGT,Corto,VBS_ADX,52.8,52.87,0.07,714.28571,50
2022-1-20 20:55:01,JPM,Corto,VBS_ADX,149.34,149.6087,0.2687,186.08113,50
2022-1-20 20:59:59,AMAT,Corto,VBS_ADX,143.54,143.89,0.35,142.85714,50
2022-1-20 20:59:59,SBUX,Corto,VBS_ADX,97.25,97.41,0.16,312.5,50
2022-1-20 21:05:01,NUGT,Corto,VBS_ADX,52.79,52.82,0.03,1666.66667,50
2022-1-20 21:20:00,JPM,Corto,VBS_ADX,148.95,149.105,0.155,322.58065,50
2022-1-21 15:45:00,WMT,Corto,VBS_ADX,141.48,142.22,0.74,67.56757,50
2022-1-21 15:49:58,WMT,Corto,VBS_ADX,141.94,142.2,0.26,192.30769,50
2022-1-21 15:54:59,UBER,Corto,VBS_ADX,36.83,37.05,0.22,227.27273,50
2022-1-21 15:54:58,WYNN,Corto,VBS_ADX,86.56,86.94,0.38,131.57895,50
